timestamp(ms),Moisture,
"1717686813.622","499",
"1717686813.722","500",
"1717686813.822","499",
"1717686813.922","497",
"1717686814.022","501",
"1717686814.122","499",
"1717686814.222","500",
"1717686814.322","500",
"1717686814.422","499",
"1717686814.522","500",
"1717686814.622","498",
"1717686814.722","500",
"1717686814.822","499",
"1717686814.922","500",
"1717686815.022","499",
"1717686815.122","499",
"1717686815.222","499",
"1717686815.322","500",
"1717686815.422","500",
"1717686815.522","499",
"1717686815.622","499",
"1717686815.722","495",
"1717686815.822","499",
"1717686815.922","500",
"1717686816.022","499",
"1717686816.122","500",
"1717686816.222","500",
"1717686816.322","498",
"1717686816.422","500",
"1717686816.522","499",
"1717686816.623","499",
"1717686816.722","499",
"1717686816.822","500",
"1717686816.922","499",
"1717686817.022","499",
"1717686817.122","499",
"1717686817.222","500",
"1717686817.322","499",
"1717686817.422","499",
"1717686817.522","499",
"1717686817.622","499",
"1717686817.722","499",
"1717686817.822","502",
"1717686817.922","500",
"1717686818.022","500",
"1717686818.122","500",
"1717686818.222","499",
"1717686818.322","498",
"1717686818.422","500",
"1717686818.522","498",
"1717686818.622","499",
"1717686818.722","499",
"1717686818.822","499",
"1717686818.922","500",
"1717686819.022","499",
"1717686819.122","500",
"1717686819.222","499",
"1717686819.322","501",
"1717686819.422","499",
"1717686819.523","499",
"1717686819.622","497",
"1717686819.722","494",
"1717686819.822","497",
"1717686819.922","498",
"1717686820.022","500",
"1717686820.122","499",
"1717686820.222","499",
"1717686820.322","499",
"1717686820.422","500",
"1717686820.522","499",
"1717686820.622","500",
"1717686820.722","499",
"1717686820.822","499",
"1717686820.922","499",
"1717686821.022","499",
"1717686821.122","500",
"1717686821.222","499",
"1717686821.322","499",
"1717686821.422","498",
"1717686821.522","503",
"1717686821.622","499",
"1717686821.722","502",
"1717686821.822","499",
"1717686821.922","500",
"1717686822.022","500",
"1717686822.122","499",
"1717686822.222","500",
"1717686822.322","499",
"1717686822.422","500",
"1717686822.522","500",
"1717686822.623","502",
"1717686822.722","500",
"1717686822.823","499",
"1717686822.922","499",
"1717686823.022","499",
"1717686823.122","499",
"1717686823.222","499",
"1717686823.322","502",
"1717686823.423","499",
"1717686823.522","499",
"1717686823.622","499",
"1717686823.722","499",
"1717686823.822","499",
"1717686823.922","500",
"1717686824.022","497",
"1717686824.122","499",
"1717686824.222","499",
"1717686824.322","499",
"1717686824.422","499",
"1717686824.522","500",
"1717686824.622","499",
"1717686824.722","499",
"1717686824.822","499",
"1717686824.922","499",
"1717686825.022","499",
"1717686825.122","499",
"1717686825.222","499",
"1717686825.322","499",
"1717686825.422","502",
"1717686825.522","499",
"1717686825.622","497",
"1717686825.722","498",
"1717686825.822","499",
"1717686825.922","499",
"1717686826.022","499",
"1717686826.122","500",
"1717686826.222","499",
"1717686826.322","499",
"1717686826.422","499",
"1717686826.522","499",
"1717686826.622","499",
"1717686826.723","499",
"1717686826.822","499",
"1717686826.922","499",
"1717686827.022","499",
"1717686827.122","500",
"1717686827.222","500",
"1717686827.322","498",
"1717686827.422","499",
"1717686827.522","499",
"1717686827.622","498",
"1717686827.722","499",
"1717686827.822","499",
"1717686827.922","502",
"1717686828.022","499",
"1717686828.122","498",
"1717686828.222","499",
"1717686828.322","497",
"1717686828.422","499",
"1717686828.522","498",
"1717686828.622","501",
"1717686828.722","499",
"1717686828.822","498",
"1717686828.922","499",
"1717686829.023","500",
"1717686829.122","502",
"1717686829.222","499",
"1717686829.322","496",
"1717686829.422","498",
"1717686829.522","493",
"1717686829.622","498",
"1717686829.722","499",
"1717686829.822","498",
"1717686829.922","497",
"1717686830.022","499",
"1717686830.122","495",
"1717686830.222","500",
"1717686830.322","500",
"1717686830.422","499",
"1717686830.522","499",
"1717686830.622","498",
"1717686830.722","499",
"1717686830.822","499",
"1717686830.922","499",
"1717686831.022","502",
"1717686831.122","499",
"1717686831.222","498",
"1717686831.322","499",
"1717686831.422","499",
"1717686831.522","499",
"1717686831.622","497",
"1717686831.722","499",
"1717686831.822","499",
"1717686831.922","499",
"1717686832.022","499",
"1717686832.122","499",
"1717686832.222","499",
"1717686832.322","499",
"1717686832.422","497",
"1717686832.523","499",
"1717686832.622","499",
"1717686832.723","497",
"1717686832.822","493",
"1717686832.922","499",
"1717686833.022","503",
"1717686833.123","498",
"1717686833.222","497",
"1717686833.322","496",
"1717686833.422","499",
"1717686833.522","497",
"1717686833.622","497",
"1717686833.722","498",
"1717686833.822","497",
"1717686833.922","500",
"1717686834.022","498",
"1717686834.122","499",
"1717686834.223","500",
"1717686834.322","499",
